location_id,street_address,city,province,postal_code,region,neighborhood_income_tier,is_branch
30,03759 Nathan Plaza Suite 969,Dartmouth,Nova Scotia,B2Y 3Z7,Atlantic Canada,Middle,True
31,79501 Graham Rue Suite 299,Moncton,New Brunswick,E1C 8R3,Atlantic Canada,Low,True
32,241 Angela Village,Fredericton,New Brunswick,E3B 5G4,Atlantic Canada,Low,True
33,9810 Daniel Run,Saint John,New Brunswick,E2L 4L5,Atlantic Canada,Middle,True
34,182 Smith Crest Apt. 700,Charlottetown,Prince Edward Island,C1A 4N5,Atlantic Canada,Low,True
35,78513 Kristina Ramp Apt. 614,St. John's,Newfoundland and Labrador,A1C 5S7,Atlantic Canada,Middle,True
36,6967 Nolan Village Apt. 320,Whitehorse,Yukon,Y1A 2C6,Northern,Middle,True
37,773 Mcintosh Island Apt. 910,Yellowknife,Northwest Territories,X1A 2N5,Northern,Low,True
38,824 Harper Route,Iqaluit,Nunavut,X0A 0H0,Northern,Middle,True
39,827 Copeland Road Apt. 170,Kitchener,Ontario,N2G 4L2,Central Canada,Low,True
40,7243 Guzman Radial,London,Ontario,N6A 3N7,Central Canada,Middle,True
41,695 Cooper Loaf Apt. 355,Windsor,Ontario,N9A 1E1,Central Canada,Low,True
42,22834 Mary Point Suite 082,Barrie,Ontario,L4M 3B1,Central Canada,High,True
43,932 Olsen Walk,Kingston,Ontario,K7L 2Z7,Central Canada,Middle,True
44,7682 Johnathan Locks Apt. 026,Sudbury,Ontario,P3E 3B8,Central Canada,Middle,True
45,018 Jeffrey Burgs Suite 320,Thunder Bay,Ontario,P7B 5E1,Central Canada,High,True
46,21776 Patrick Points Apt. 545,Abbotsford,British Columbia,V2S 6H1,Western Canada,Middle,True
47,275 Eric Circle Apt. 061,Prince George,British Columbia,V2L 3H5,Western Canada,High,True
48,594 Devon Ridges,Nanaimo,British Columbia,V9R 5S5,Western Canada,Middle,True
49,5558 Parker Lakes,Medicine Hat,Alberta,T1A 0B4,Western Canada,Middle,True
50,923 Jeffrey Village Apt. 332,Fort McMurray,Alberta,T9H 1S8,Western Canada,Middle,True
51,70024 Jennifer Court,Winnipeg,Manitoba,B6M1R8,Prairie,Middle,False
52,34639 Charles Trafficway Suite 161,Kingston,Ontario,E8V8E5,Central Canada,Middle,False
53,333 Donald Estate Suite 094,Sudbury,Ontario,Y7M 5L6,Central Canada,Middle,False
54,853 Collins Shore,Kitchener,Ontario,C2J 9P7,Central Canada,Middle,False
55,322 Solis Causeway Suite 673,St. John's,Newfoundland and Labrador,Y2S4R3,Atlantic Canada,Low,False
56,37700 Morse Mission,Calgary,Alberta,P2M 9T4,Western Canada,Middle,False
57,7756 Sean Trace Apt. 554,Vancouver,British Columbia,X4M 7S5,Western Canada,Low,False
58,8276 Elliott Pike,Windsor,Ontario,T1E 5Y8,Central Canada,Middle,False
59,4213 Troy Ports,Red Deer,Alberta,L8J4T2,Western Canada,Middle,False
60,4250 Gilmore Canyon,Fort McMurray,Alberta,K7S7H8,Western Canada,Low,False
61,73058 Kelly Grove Apt. 406,Red Deer,Alberta,C4E 5V6,Western Canada,Low,False
62,0152 Yang Forest Apt. 648,Victoria,British Columbia,C2V9N3,Western Canada,Middle,False
63,9156 Christopher Ferry,Mississauga,Ontario,A6K3G1,Central Canada,Middle,False
64,22851 Harry Mission Apt. 086,Yellowknife,Northwest Territories,Y9R8N9,Northern,Low,False
65,2273 Murray Springs Suite 273,Victoria,British Columbia,G7G3V7,Western Canada,Middle,False
66,49685 Robin Ports,Fredericton,New Brunswick,A9L5X6,Atlantic Canada,Middle,False
67,2830 Sandoval Street Suite 699,Barrie,Ontario,R9C2E3,Central Canada,Middle,False
68,690 Webb Meadow Apt. 372,Vancouver,British Columbia,G1K 9V7,Western Canada,High,False
69,466 Rebecca Lodge,Nanaimo,British Columbia,X3R 2A4,Western Canada,Middle,False
70,3446 Julie Mews Apt. 367,Vancouver,British Columbia,P7P5P3,Western Canada,Low,False
71,3119 Turner Ports Suite 821,Halifax,Nova Scotia,E6G 5T4,Atlantic Canada,Low,False
72,346 Perez Gateway Suite 329,Saskatoon,Saskatchewan,M7V4T9,Prairie,Middle,False
73,019 Reynolds Roads,Quebec City,Quebec,V5E 4A9,Central Canada,Middle,False
74,8606 Gordon Rapid Apt. 505,Hamilton,Ontario,E4X8V3,Central Canada,Low,False
75,05797 Eric Plaza Suite 400,Montreal,Quebec,J2N7B2,Central Canada,High,False
76,21624 Matthew Ford Apt. 692,Calgary,Alberta,S7B 2M7,Western Canada,Low,False
77,146 Mcguire Place Apt. 022,Halifax,Nova Scotia,G4M9J1,Atlantic Canada,Middle,False
78,40107 Vaughan Field,Brandon,Manitoba,E4R 6G3,Prairie,Middle,False
79,496 Berg Island,Dartmouth,Nova Scotia,C9N8J3,Atlantic Canada,Middle,False
80,236 Lee Drive,Whitehorse,Yukon,V5B8V7,Northern,Low,False
81,0444 Katherine Inlet Apt. 052,Toronto,Ontario,P2K 3K6,Central Canada,Middle,False
82,007 Cooper Club,Montreal,Quebec,M3B3B3,Central Canada,Middle,False
83,516 Paula Camp,St. John's,Newfoundland and Labrador,N3N2T9,Atlantic Canada,Low,False
84,10364 Felicia Place,Fort McMurray,Alberta,S7V 5L8,Western Canada,Middle,False
85,423 Teresa Drives,Montreal,Quebec,C7G5P4,Central Canada,Middle,False
86,09620 Sally Ways,Calgary,Alberta,L8N 5V8,Western Canada,Middle,False
87,44076 Christopher Forge Suite 066,Prince George,British Columbia,A1Y6N2,Western Canada,Low,False
88,38556 Kirsten Lakes Apt. 006,Vancouver,British Columbia,L6R6Y3,Western Canada,Low,False
89,988 Hernandez Tunnel Apt. 376,Medicine Hat,Alberta,J8E 5K3,Western Canada,High,False
90,21692 Garcia Trafficway Apt. 348,Montreal,Quebec,N3E 1L1,Central Canada,Low,False
91,7714 Bell Cliffs,Burnaby,British Columbia,X3N6M1,Western Canada,Low,False
92,8470 Atkins Inlet,Saint John,New Brunswick,J1X2J6,Atlantic Canada,Middle,False
93,2604 Marsh Brook Apt. 573,Laval,Quebec,V8X2B3,Central Canada,Middle,False
94,272 Mackenzie Court Suite 581,Calgary,Alberta,S6R8H7,Western Canada,Middle,False
95,60513 Steven Greens,Fort McMurray,Alberta,P3M2T3,Western Canada,Low,False
96,0500 Ryan Garden Apt. 780,Toronto,Ontario,E3N 8P5,Central Canada,Middle,False
97,137 Oliver Circles,Fredericton,New Brunswick,V2N5H6,Atlantic Canada,High,False
98,842 Rodriguez Lodge,Winnipeg,Manitoba,E5E 8T6,Prairie,Low,False
99,7092 Turner Turnpike Apt. 827,Burnaby,British Columbia,P6N 8S2,Western Canada,Middle,False
100,4640 Guerrero Radial,Lethbridge,Alberta,B9L 8C8,Western Canada,Low,False
101,783 Thomas Land,Hamilton,Ontario,B3P6H3,Central Canada,High,False
102,109 Mccall Bypass,Fredericton,New Brunswick,G3N 6A8,Atlantic Canada,Low,False
103,08688 Carey Alley,Medicine Hat,Alberta,L1S 5E1,Western Canada,Middle,False
104,919 David Knoll,Quebec City,Quebec,V6K 3S1,Central Canada,High,False
105,9429 Derek Keys,Moncton,New Brunswick,A2V 6L6,Atlantic Canada,Low,False
106,5016 Cameron Lane Suite 165,Calgary,Alberta,H3N1J9,Western Canada,Middle,False
107,967 Smith Estates,Kitchener,Ontario,T7R2S7,Central Canada,Middle,False
108,898 Ellen Pass,Edmonton,Alberta,A9R 4S9,Western Canada,Low,False
109,134 Philip Prairie,Medicine Hat,Alberta,M2L 3C7,Western Canada,Low,False
110,0399 Gail Freeway Suite 959,Edmonton,Alberta,X1E 1C7,Western Canada,Low,False
111,060 James Ways Apt. 268,Saskatoon,Saskatchewan,E3E1R7,Prairie,Low,False
112,927 Jason Fields Apt. 439,Barrie,Ontario,M6E1J3,Central Canada,Middle,False
113,2417 Rubio Landing,Charlottetown,Prince Edward Island,R6J4R9,Atlantic Canada,Middle,False
114,3016 Megan Glen Suite 781,Lethbridge,Alberta,S9V1H3,Western Canada,Middle,False
115,89980 Sheena Canyon,Kelowna,British Columbia,M5X2H5,Western Canada,High,False
116,6327 Richmond Meadow,Whitehorse,Yukon,H7T 3J4,Northern,Middle,False
117,1752 Luke Lodge Suite 322,Red Deer,Alberta,K6T 8X6,Western Canada,High,False
118,764 Michael Island,Abbotsford,British Columbia,C8C5E5,Western Canada,Middle,False
119,50684 Joseph Valleys Apt. 037,Red Deer,Alberta,K9B7K7,Western Canada,High,False
120,30449 Joanne Well,Toronto,Ontario,X5H9X3,Central Canada,Low,False
121,539 Jones Summit Suite 904,Mississauga,Ontario,P8J 7S6,Central Canada,Middle,False
122,668 Jessica Lights,Vancouver,British Columbia,L1R 2Y8,Western Canada,Middle,False
123,16404 Stephanie Ranch,Edmonton,Alberta,L9T6M9,Western Canada,Middle,False
124,3917 Edward Parks Suite 087,Prince George,British Columbia,J2H5N4,Western Canada,Low,False
125,66307 Erika Common Suite 646,Yellowknife,Northwest Territories,E4G 9S8,Northern,Middle,False
126,3544 Thompson Mills Suite 036,Lethbridge,Alberta,B4M 2A8,Western Canada,Low,False
127,556 Alice Estates,Regina,Saskatchewan,P2L8Y2,Prairie,High,False
128,49113 Fernando Divide Suite 261,Montreal,Quebec,B8B7A9,Central Canada,Middle,False
129,65852 Jacob Brooks,Winnipeg,Manitoba,N3L9B2,Prairie,Middle,False
130,2293 Byrd Manors Suite 897,Dartmouth,Nova Scotia,J7M 8R3,Atlantic Canada,Low,False
131,9388 Paula Port Suite 247,Ottawa,Ontario,N8K3A6,Central Canada,Middle,False
132,2561 Tony Garden,Barrie,Ontario,L9H5V3,Central Canada,High,False
133,8149 Daniel Parkways,Saskatoon,Saskatchewan,T1E 7E1,Prairie,Low,False
134,695 Jackson Cape,Montreal,Quebec,B8P7S6,Central Canada,Middle,False
135,0089 Lee Hill Apt. 697,Edmonton,Alberta,H6S3C5,Western Canada,Middle,False
136,469 Brown Garden Suite 681,Quebec City,Quebec,G9E 2E4,Central Canada,Middle,False
137,0697 Gregory Hills Apt. 810,Vancouver,British Columbia,H4K4V5,Western Canada,Middle,False
138,5314 Kimberly Squares Apt. 930,Mississauga,Ontario,N3Y7X1,Central Canada,Middle,False
139,8780 Mary Orchard,Whitehorse,Yukon,B1A1T3,Northern,High,False
140,513 Hamilton Valley,Barrie,Ontario,R6R 2N8,Central Canada,Low,False
141,149 Miller Port,Toronto,Ontario,E7N 6P7,Central Canada,Low,False
142,12014 Osborne Greens Apt. 860,Medicine Hat,Alberta,H1N 4C9,Western Canada,Low,False
143,2905 Jones Wells,Calgary,Alberta,P5S8S8,Western Canada,Middle,False
144,367 Rodgers Creek Apt. 833,Moncton,New Brunswick,E7J7C1,Atlantic Canada,Middle,False
145,7225 Cynthia Forest Apt. 047,Saskatoon,Saskatchewan,E6B1C3,Prairie,Low,False
146,67265 Daniel Crescent Apt. 613,Calgary,Alberta,J8L8E3,Western Canada,Middle,False
147,997 Sara Haven,Brandon,Manitoba,H4T 8X4,Prairie,Middle,False
148,4262 Bowman Crest Apt. 499,Dartmouth,Nova Scotia,S1R8X3,Atlantic Canada,Middle,False
149,757 Kelly Rest Apt. 261,Thunder Bay,Ontario,J8A 8J1,Central Canada,Low,False
150,90917 Daniel Fort,Whitehorse,Yukon,X2E 2N8,Northern,Middle,False
151,503 Gabriella Viaduct,Fredericton,New Brunswick,A9S 8E1,Atlantic Canada,High,False
152,6223 Fitzpatrick Summit Apt. 356,Surrey,British Columbia,H2G 3E6,Western Canada,Middle,False
153,14207 Isaac Summit,Ottawa,Ontario,P1T6M6,Central Canada,Middle,False
154,33790 Kari Manor,St. John's,Newfoundland and Labrador,E9Y 5S6,Atlantic Canada,High,False
155,80770 Williams Valley,Victoria,British Columbia,K8J7V6,Western Canada,High,False
156,0413 Becker Curve Apt. 152,Iqaluit,Nunavut,S8X7P7,Northern,Middle,False
157,255 Potter Ways,Charlottetown,Prince Edward Island,J4M7J1,Atlantic Canada,High,False
158,88098 Brandon Parks,Saint John,New Brunswick,A7G7C8,Atlantic Canada,High,False
159,8984 Sandra Streets,Calgary,Alberta,T3H1X9,Western Canada,High,False
160,3586 Angela Valley Suite 407,Mississauga,Ontario,S9T 7H6,Central Canada,Middle,False
161,1569 Stevenson Common,Lethbridge,Alberta,X4C1J3,Western Canada,Middle,False
162,30260 Taylor Trail Apt. 591,Yellowknife,Northwest Territories,V3P 9X1,Northern,Middle,False
163,792 Karen Stravenue,Kitchener,Ontario,S6X9J7,Central Canada,High,False
164,08628 Hannah Circles,Hamilton,Ontario,R3C 8X4,Central Canada,Middle,False
165,1573 Paul Mill Apt. 478,Iqaluit,Nunavut,X8R7G4,Northern,Middle,False
166,7969 Parker Brook,Victoria,British Columbia,N9B 8L6,Western Canada,Low,False
167,8235 Mccullough Circles Suite 054,Edmonton,Alberta,J8P 4V8,Western Canada,Middle,False
168,7650 Andrade Spurs,Victoria,British Columbia,R1G2M3,Western Canada,Middle,False
169,891 Mcgee Lodge,Saskatoon,Saskatchewan,M8K 6C4,Prairie,High,False
170,702 Carter Fort Suite 762,Barrie,Ontario,M1G 7T6,Central Canada,Middle,False
171,106 Holly Drive Suite 784,Victoria,British Columbia,G6S3M3,Western Canada,Low,False
172,5156 Parker Alley,Mississauga,Ontario,A8R5V6,Central Canada,High,False
173,6900 Heather Pass,London,Ontario,B5C5M1,Central Canada,Low,False
174,57351 Jeffrey Green,Montreal,Quebec,B6P6B5,Central Canada,High,False
175,88130 Jenna Fork,Edmonton,Alberta,G1V 1K3,Western Canada,Middle,False
176,7988 Kevin Terrace,Quebec City,Quebec,V5K5R2,Central Canada,Low,False
177,333 Kevin Manors Suite 397,Mississauga,Ontario,R4J 2X9,Central Canada,Low,False
178,23605 Mackenzie Circle,Winnipeg,Manitoba,L2A 4L5,Prairie,Middle,False
179,877 Brown Walk Suite 091,Halifax,Nova Scotia,X6Y3Y2,Atlantic Canada,Low,False
180,8232 Cortez Hills Apt. 352,Abbotsford,British Columbia,G4G 7L8,Western Canada,Middle,False
181,906 Maria Valleys,Barrie,Ontario,P4J 6V5,Central Canada,Middle,False
182,45901 Reginald Oval Apt. 298,Kingston,Ontario,X7A 4T2,Central Canada,Low,False
183,5552 Richard Ferry,Burnaby,British Columbia,R5X 8A8,Western Canada,Low,False
184,433 Tim Parkway Suite 381,Montreal,Quebec,C2P7K6,Central Canada,Low,False
185,2118 Harrison Island,Quebec City,Quebec,R7L4A7,Central Canada,Middle,False
186,140 Summers Spurs,Montreal,Quebec,N3J 6E2,Central Canada,Low,False
187,8159 Daniel River Suite 973,Laval,Quebec,J6G 9C2,Central Canada,Middle,False
188,04074 Richard Hill Suite 864,Kitchener,Ontario,S3Y3N7,Central Canada,Middle,False
189,958 Michael Ports,Kelowna,British Columbia,G7L 4G2,Western Canada,Middle,False
190,8671 Clark Forges Suite 450,Windsor,Ontario,K8S5X2,Central Canada,Low,False
191,3603 Johnson Pass,Saint John,New Brunswick,E5L 2E6,Atlantic Canada,Middle,False
192,560 Robert Viaduct,Ottawa,Ontario,M5C5H1,Central Canada,High,False
193,8542 Janice Flat,Halifax,Nova Scotia,R9G 6E3,Atlantic Canada,Low,False
194,744 Beasley Freeway Suite 170,Toronto,Ontario,A7X7M6,Central Canada,High,False
195,276 Hunter Meadow Apt. 764,Fort McMurray,Alberta,Y7S6A6,Western Canada,High,False
196,48475 Laura Field Apt. 417,Vancouver,British Columbia,R4R4R6,Western Canada,High,False
197,34577 Davis Course Suite 667,Halifax,Nova Scotia,J3V 8V4,Atlantic Canada,Middle,False
198,61429 Anderson Street,Halifax,Nova Scotia,P8P 4S6,Atlantic Canada,Middle,False
199,5518 Sanders Divide Suite 967,Montreal,Quebec,G8J 7A5,Central Canada,High,False
200,193 Felicia Fields Apt. 222,Thunder Bay,Ontario,H1S9N1,Central Canada,Low,False
201,844 Hartman Road Apt. 709,St. John's,Newfoundland and Labrador,A1T8C3,Atlantic Canada,High,False
202,08914 Anthony Plaza,Winnipeg,Manitoba,V7P 8H1,Prairie,Middle,False
203,66674 Julia Road,Laval,Quebec,A9M 7N1,Central Canada,Middle,False
204,2742 Zhang Light Suite 906,Toronto,Ontario,T9V2N9,Central Canada,Middle,False
205,8133 Austin Circles Apt. 584,Toronto,Ontario,L6E4K2,Central Canada,Low,False
206,75622 Kayla Harbor Suite 915,Edmonton,Alberta,P1E4T7,Western Canada,Middle,False
207,5598 Chris Station Suite 555,Kingston,Ontario,H8B3G4,Central Canada,High,False
208,6913 Hanson Views Apt. 724,Fort McMurray,Alberta,P2A1B5,Western Canada,Middle,False
209,92285 Ryan Drives,Regina,Saskatchewan,Y3Y2X9,Prairie,Low,False
210,908 Annette Stream,Nanaimo,British Columbia,K9V 3H3,Western Canada,High,False
211,9392 Keith Cliff Apt. 073,Lethbridge,Alberta,J5A 8C1,Western Canada,Low,False
212,3854 Kennedy Viaduct Apt. 741,Calgary,Alberta,T9J7L9,Western Canada,Low,False
213,913 Daniel Plaza Suite 311,Toronto,Ontario,J1X 9A7,Central Canada,High,False
214,27187 Jennifer Parkways,Kelowna,British Columbia,R7T 7G3,Western Canada,Low,False
215,3607 Teresa Mission,Regina,Saskatchewan,V9V9H5,Prairie,Low,False
216,1975 Mosley Village,Nanaimo,British Columbia,X9H1J9,Western Canada,Low,False
217,15130 Jill Track Suite 523,Vancouver,British Columbia,K8N2P5,Western Canada,High,False
218,308 Suarez Cliffs Apt. 299,Thunder Bay,Ontario,H4R 7C2,Central Canada,High,False
219,79170 Bray Extension,Toronto,Ontario,P8P 1T4,Central Canada,Low,False
220,20973 Holly Knoll Apt. 246,Red Deer,Alberta,B3C7S9,Western Canada,High,False
221,9936 Butler Green,Dartmouth,Nova Scotia,S6J 7L6,Atlantic Canada,Middle,False
222,7993 Arias Stream Suite 507,Red Deer,Alberta,M4P3Y4,Western Canada,Middle,False
223,8207 Victoria Spur,Kingston,Ontario,C1Y 9C1,Central Canada,High,False
224,192 Miller Roads Suite 929,Kelowna,British Columbia,T9X 8Y2,Western Canada,Middle,False
225,783 Cynthia Inlet Apt. 143,Mississauga,Ontario,J1C 3H3,Central Canada,Low,False
226,2489 Ho Roads Suite 831,Vancouver,British Columbia,B9V2M5,Western Canada,Middle,False
227,2333 Debra Forks,Saint John,New Brunswick,P3Y 2B7,Atlantic Canada,Middle,False
228,05981 Jeffery Village Apt. 459,St. John's,Newfoundland and Labrador,R5C 2K4,Atlantic Canada,Middle,False
229,15801 Nunez Motorway Suite 763,Toronto,Ontario,S4B 6J1,Central Canada,High,False
230,823 Brown Rapids Apt. 674,Vancouver,British Columbia,G1M 3L2,Western Canada,High,False
231,2118 Stephanie Bridge Suite 112,Vancouver,British Columbia,N1E 3V5,Western Canada,High,False
232,2632 Hurst Falls,Kitchener,Ontario,G6N 8J3,Central Canada,Middle,False
233,943 Richards Grove,Prince George,British Columbia,G9R8N1,Western Canada,Low,False
234,16044 Richardson Pike Suite 128,Halifax,Nova Scotia,B4K 8B9,Atlantic Canada,Middle,False
235,0368 Diaz Common,Saint John,New Brunswick,E6S3Y8,Atlantic Canada,High,False
236,0754 Donald Islands Suite 883,Yellowknife,Northwest Territories,Y9G 4L7,Northern,High,False
237,916 Gabriela Centers Apt. 075,Toronto,Ontario,Y3H1E5,Central Canada,Low,False
238,592 Mark Place,Toronto,Ontario,N9B 3Y3,Central Canada,Middle,False
239,281 Williams Plaza,St. John's,Newfoundland and Labrador,H4K 5X8,Atlantic Canada,Middle,False
240,97928 Tracy Skyway,Nanaimo,British Columbia,P7B 6E7,Western Canada,Low,False
241,39444 Ball Skyway Apt. 763,Edmonton,Alberta,J3S5V5,Western Canada,Middle,False
242,3330 Leon Terrace Suite 017,Mississauga,Ontario,A6C 5B2,Central Canada,Low,False
243,800 Tyler Street,Kelowna,British Columbia,L8C3S3,Western Canada,Middle,False
244,432 Waller Ports,Kingston,Ontario,A1Y6T1,Central Canada,Low,False
245,29042 Lisa Mission Apt. 256,Prince George,British Columbia,J2N7K7,Western Canada,Low,False
246,2212 Vickie Manor Apt. 018,Saint John,New Brunswick,M7M6E2,Atlantic Canada,Middle,False
247,2065 Wendy Parks,Regina,Saskatchewan,R1A 7A6,Prairie,Middle,False
248,364 Alicia Trafficway Suite 958,Thunder Bay,Ontario,B1G8K3,Central Canada,Middle,False
249,125 Smith Skyway,Quebec City,Quebec,N4L9E2,Central Canada,High,False
250,52835 Abigail Ramp Apt. 323,Kingston,Ontario,X3N1J2,Central Canada,Low,False
