loan_id,customer_id,product_id,location_id,application_date_id,approval_date_id,loan_amount_requested,loan_amount_approved,approval_status,rejection_reason,interest_rate,interest_rate_type,loan_term_months,monthly_payment,outstanding_balance,total_paid,is_secured,collateral_type,collateral_value,credit_score_at_application,loan_status,missed_payments_count,days_past_due
14,166,8,15,20230606,20230619.0,526515.92,520655.27,Approved,,5.23,Fixed,240,3502.59,492998.73,27656.54,True,Property,776566.11,526,Current,0,0
15,2838,7,40,20231202,20231202.0,33818.78,33338.1,Approved,,9.49,Fixed,48,837.4,31945.68,1392.42,False,,,542,Current,0,0
16,4645,9,10,20220710,,158724.78,,Pending,,,Variable,0,,,,True,Property,272145.29,635,,0,0
17,3285,8,48,20221218,20230101.0,493250.56,423111.89,Approved,,4.86,Fixed,240,2759.73,410782.12,12329.77,True,Property,737573.46,598,Defaulted,0,0
18,1901,8,38,20220120,,940466.35,,Rejected,Insufficient Income,,Fixed,240,,,,True,Property,1110151.68,705,,0,0
19,4225,9,38,20220615,20220624.0,168949.78,159381.82,Approved,,6.34,Variable,0,,125235.57,34146.25,True,Property,319459.97,607,Current,0,0
20,3483,9,7,20220319,20220323.0,299806.86,291868.44,Approved,,6.62,Variable,0,,233045.68,58822.76,True,Property,465802.23,567,Current,0,0
21,4095,8,15,20230309,20230321.0,696513.75,690441.86,Approved,,6.04,Fixed,300,4465.42,616950.52,73491.34,True,Property,933516.68,797,Current,0,0
22,349,9,26,20221225,20230106.0,146312.84,136716.52,Approved,,4.54,Variable,0,,98074.78,38641.74,True,Property,224355.62,661,Delinquent,1,30
23,1732,7,48,20220315,20220330.0,30782.93,27924.79,Approved,,7.39,Fixed,48,673.76,22668.0,5256.79,False,,,685,Current,0,0
24,4752,7,11,20221128,20221217.0,15902.86,14111.84,Approved,,5.53,Fixed,24,622.46,12167.92,1943.92,False,,,566,Current,0,0
25,3873,9,47,20230907,20230908.0,107312.49,91821.06,Approved,,5.2,Variable,0,,88859.35,2961.71,True,Property,204592.16,636,Current,0,0
26,998,7,26,20230717,20230811.0,18858.17,17984.07,Approved,,11.74,Fixed,48,471.3,14710.9,3273.17,False,,,688,Current,0,0
27,3594,9,19,20230815,20230906.0,100968.46,90170.22,Approved,,6.87,Variable,0,,70841.76,19328.46,True,Property,248482.81,587,Current,0,0
28,1164,9,23,20230929,,174505.11,,Rejected,Employment History,,Variable,0,,,,True,Property,266702.56,710,,0,0
29,1812,7,18,20230302,20230303.0,40929.02,37676.18,Approved,,6.25,Fixed,60,732.77,35629.46,2046.72,False,,,631,Current,0,0
30,1273,7,27,20230302,20230319.0,46446.84,40478.23,Approved,,8.62,Fixed,36,1280.05,34774.42,5703.81,False,,,656,Defaulted,0,0
31,578,8,41,20231014,20231019.0,309614.82,285584.08,Approved,,5.22,Fixed,240,1919.61,200499.9,85084.18,True,Property,357561.0,631,Current,0,0
32,2439,7,16,20221218,20230102.0,20514.62,18843.98,Approved,,6.59,Fixed,60,369.5,13689.5,5154.48,False,,,828,Current,0,0
33,2431,9,22,20220810,20220901.0,107011.87,94655.44,Approved,,6.09,Variable,0,,72594.99,22060.45,True,Property,245394.71,678,Current,2,60
34,841,7,28,20220401,20220402.0,21704.59,21022.66,Approved,,8.84,Fixed,24,958.87,19749.76,1272.9,False,,,595,Current,0,0
35,1331,9,6,20230409,20230508.0,210403.04,208719.54,Approved,,4.63,Variable,0,,154119.51,54600.03,True,Property,408330.67,745,Current,0,0
36,543,7,46,20220708,20220806.0,27369.11,23883.41,Approved,,6.15,Fixed,48,562.55,23274.66,608.75,False,,,582,Current,0,0
37,3279,7,35,20220623,,23427.2,,Rejected,Low Credit Score,,Fixed,36,,,,False,,,696,,0,0
38,596,9,18,20220517,,256646.28,,Rejected,Employment History,,Variable,0,,,,True,Property,393598.08,523,,0,0
39,4657,8,23,20220311,20220328.0,1198388.59,1095950.04,Approved,,5.5,Fixed,240,7538.9,976891.65,119058.39,True,Property,1362244.64,573,Current,0,0
40,923,8,22,20220729,20220808.0,877976.37,782564.44,Approved,,4.21,Fixed,240,4829.23,588235.83,194328.61,True,Property,1126777.97,695,Paid Off,0,0
41,3311,9,34,20230607,,241644.83,,Rejected,High Debt-to-Income Ratio,,Variable,0,,,,True,Property,417379.96,739,,0,0
42,3891,7,47,20220425,,44186.43,,Rejected,Incomplete Application,,Fixed,60,,,,False,,,693,,0,0
43,1457,7,7,20221214,,6848.64,,Rejected,Incomplete Application,,Fixed,36,,,,False,,,670,,0,0
44,345,8,30,20230524,20230613.0,591520.47,591200.27,Approved,,4.2,Fixed,300,3186.23,551533.87,39666.4,True,Property,823983.77,655,Current,0,0
45,1323,7,19,20230502,20230530.0,20511.3,18610.31,Approved,,6.46,Fixed,36,570.05,14334.53,4275.78,False,,,561,Defaulted,0,0
46,4371,9,23,20230121,20230207.0,161099.68,156661.31,Approved,,6.56,Variable,0,,141557.64,15103.67,True,Property,353198.14,622,Current,1,30
47,100,7,27,20230802,20230809.0,7257.33,6391.56,Approved,,10.79,Fixed,24,297.27,5224.27,1167.29,False,,,643,Current,0,0
48,2327,9,38,20220714,20220724.0,149627.23,148724.68,Approved,,5.19,Variable,0,,142440.82,6283.86,True,Property,267693.4,764,Current,0,0
49,633,8,22,20231228,,1018829.8,,Rejected,High Debt-to-Income Ratio,,Fixed,240,,,,True,Property,1219894.25,707,,0,0
50,577,9,14,20230902,20230913.0,233793.13,217983.26,Approved,,4.96,Variable,0,,185504.74,32478.52,True,Property,468322.14,538,Delinquent,0,0
51,3903,7,30,20230315,20230322.0,20012.77,20008.71,Approved,,10.25,Fixed,24,925.61,17276.05,2732.66,False,,,705,Current,0,0
52,647,9,42,20221007,20221024.0,85118.53,72830.48,Approved,,7.02,Variable,0,,53275.56,19554.92,True,Property,148765.09,649,Current,2,60
53,4989,9,41,20230815,20230820.0,110710.94,105177.4,Approved,,6.37,Variable,0,,73912.71,31264.69,True,Property,181118.3,625,Defaulted,0,0
54,576,9,12,20231124,20231208.0,124440.91,120856.33,Approved,,5.91,Variable,0,,107676.36,13179.97,True,Property,310981.03,728,Delinquent,0,0
55,4733,8,50,20230616,20230707.0,478036.66,454086.67,Approved,,4.98,Fixed,300,2649.26,359431.94,94654.73,True,Property,588086.03,762,Current,0,0
56,929,9,50,20230423,20230509.0,160736.18,147574.79,Approved,,6.97,Variable,0,,141554.69,6020.1,True,Property,301510.06,754,Current,0,0
57,4554,8,41,20220515,,330045.55,,Pending,,,Fixed,240,,,,True,Property,416106.04,612,,0,0
58,3489,7,25,20220515,20220612.0,18636.91,17008.8,Approved,,6.7,Fixed,60,334.39,13441.62,3567.18,False,,,655,Delinquent,0,0
59,4382,8,46,20220211,,1033955.16,,Rejected,High Debt-to-Income Ratio,,Fixed,240,,,,True,Property,1222580.04,706,,0,0
60,2499,9,26,20220806,,88259.94,,Rejected,Employment History,,Variable,0,,,,True,Property,183596.22,758,,0,0
61,1135,7,20,20230328,20230405.0,31209.49,28958.14,Approved,,9.27,Fixed,60,604.93,21797.22,7160.92,False,,,641,Current,0,0
62,4290,7,15,20230127,,34205.6,,Rejected,Low Credit Score,,Fixed,36,,,,False,,,665,,0,0
63,373,8,15,20220922,20221013.0,253259.42,218498.4,Approved,,6.06,Fixed,240,1572.96,212858.46,5639.94,True,Property,317435.67,591,Paid Off,0,0
64,3164,8,15,20220309,20220331.0,424840.18,402567.61,Approved,,4.46,Fixed,240,2538.16,285683.8,116883.81,True,Property,553129.87,584,Current,0,0
65,4030,7,46,20220409,,18256.78,,Rejected,Employment History,,Fixed,24,,,,False,,,745,,0,0
66,1777,8,48,20231116,,854988.0,,Pending,,,Fixed,240,,,,True,Property,1005161.82,788,,0,0
67,1943,8,41,20220909,20220927.0,490331.71,454200.61,Approved,,7.15,Fixed,240,3562.42,393859.74,60340.87,True,Property,678618.54,674,Current,0,0
68,2886,8,38,20230319,20230403.0,700329.26,641298.72,Approved,,7.17,Fixed,240,5037.63,504708.85,136589.87,True,Property,824635.67,760,Current,0,0
69,1265,9,48,20220815,20220817.0,238206.0,203500.27,Approved,,6.39,Variable,0,,198085.38,5414.89,True,Property,413400.2,708,Current,2,60
70,4661,9,16,20220819,20220825.0,263136.41,241382.93,Approved,,7.03,Variable,0,,203719.91,37663.02,True,Property,423464.61,628,Defaulted,0,0
71,1974,7,45,20220530,20220531.0,35839.24,35480.26,Approved,,9.54,Fixed,48,892.05,31354.01,4126.25,False,,,708,Delinquent,0,0
72,1108,9,42,20220830,,127212.31,,Rejected,Employment History,,Variable,0,,,,True,Property,218660.76,803,,0,0
73,4454,9,15,20221101,20221108.0,194140.28,166938.73,Approved,,6.06,Variable,0,,124362.38,42576.35,True,Property,350309.95,677,Current,0,0
74,2310,7,2,20220128,20220204.0,19852.17,18134.26,Approved,,8.41,Fixed,48,446.21,14916.59,3217.67,False,,,805,Current,0,0
75,4886,9,38,20230227,20230313.0,205193.96,180580.39,Approved,,7.43,Variable,0,,160644.64,19935.75,True,Property,369425.81,470,Current,0,0
76,3180,8,41,20231226,,470505.75,,Rejected,High Debt-to-Income Ratio,,Fixed,300,,,,True,Property,631148.06,745,,0,0
77,2458,8,14,20220418,20220508.0,303084.87,292131.2,Approved,,7.43,Fixed,300,2145.54,225394.28,66736.92,True,Property,377116.01,686,Paid Off,0,0
78,941,8,43,20230506,,1098559.03,,Rejected,Employment History,,Fixed,240,,,,True,Property,1603304.93,656,,0,0
79,1278,9,9,20230404,20230417.0,296674.75,261005.5,Approved,,4.41,Variable,0,,213836.36,47169.14,True,Property,477093.22,687,Current,0,0
80,2928,9,35,20220105,20220106.0,61243.08,61106.13,Approved,,5.17,Variable,0,,44788.12,16318.01,True,Property,132651.18,520,Current,0,0
81,4681,8,45,20230723,20230813.0,1132635.66,1056248.96,Approved,,6.74,Fixed,300,7291.08,899437.66,156811.3,True,Property,1417308.32,662,Current,1,30
82,4073,8,3,20220624,20220627.0,324194.74,278745.54,Approved,,4.21,Fixed,300,1503.83,196835.61,81909.93,True,Property,365907.73,708,Current,0,0
83,4815,9,14,20230128,,282063.76,,Rejected,Incomplete Application,,Variable,0,,,,True,Property,666594.58,798,,0,0
84,3928,8,32,20230722,20230809.0,1120989.11,953311.4,Approved,,5.84,Fixed,240,6742.12,682260.05,271051.35,True,Property,1240663.32,638,Current,0,0
85,2770,7,18,20220129,20220130.0,8905.42,7705.74,Approved,,7.92,Fixed,36,241.19,5912.39,1793.35,False,,,615,Current,0,0
86,2609,8,11,20220916,,966501.71,,Rejected,Employment History,,Fixed,300,,,,True,Property,1174351.01,639,,0,0
87,1259,7,18,20231025,20231104.0,9343.79,7958.68,Approved,,6.01,Fixed,60,153.9,6439.09,1519.59,False,,,753,Current,0,0
88,56,8,4,20220327,20220331.0,517978.85,481606.12,Approved,,5.32,Fixed,240,3264.14,357597.6,124008.52,True,Property,648346.06,706,Current,0,0
89,509,7,19,20220613,20220702.0,12048.16,11467.16,Approved,,9.14,Fixed,36,365.4,8369.17,3097.99,False,,,637,Current,0,0
90,2875,7,16,20230701,20230705.0,47447.32,46489.78,Approved,,8.41,Fixed,24,2111.31,34286.6,12203.18,False,,,721,Current,0,0
91,2670,7,25,20230611,,10850.14,,Rejected,Insufficient Income,,Fixed,60,,,,False,,,687,,0,0
92,3256,7,2,20221017,20221022.0,38482.36,35893.08,Approved,,5.61,Fixed,24,1584.5,31042.81,4850.27,False,,,757,Current,0,0
93,2562,7,27,20230531,20230621.0,40961.31,38042.89,Approved,,4.61,Fixed,24,1662.36,31418.19,6624.7,False,,,623,Current,0,0
94,3796,7,21,20230303,20230314.0,40022.55,34957.25,Approved,,5.79,Fixed,24,1546.02,34522.13,435.12,False,,,653,Current,0,0
95,4473,9,27,20230323,,57898.32,,Rejected,Insufficient Income,,Variable,0,,,,True,Property,108871.12,648,,0,0
96,4212,7,32,20231120,20231214.0,16772.35,14792.21,Approved,,10.08,Fixed,48,375.74,13297.78,1494.43,False,,,562,Current,0,0
97,4211,9,36,20230514,20230608.0,159046.32,142332.8,Approved,,5.08,Variable,0,,120075.25,22257.55,True,Property,368938.64,703,Delinquent,0,0
98,3586,7,48,20220524,,41032.35,,Pending,,,Fixed,24,,,,False,,,700,,0,0
99,2461,8,35,20221003,,271951.72,,Rejected,Incomplete Application,,Fixed,300,,,,True,Property,354504.53,680,,0,0
100,4003,8,49,20220716,20220729.0,779221.6,734111.83,Approved,,4.7,Fixed,240,4723.98,529281.71,204830.12,True,Property,891634.92,661,Current,0,0
101,4236,8,19,20220106,20220128.0,684366.9,636913.4,Approved,,5.06,Fixed,240,4224.49,520235.46,116677.94,True,Property,891652.17,566,Delinquent,0,0
102,4104,8,9,20230729,,1129242.88,,Rejected,Low Credit Score,,Fixed,240,,,,True,Property,1653516.05,646,,0,0
103,2007,9,16,20220524,20220529.0,200458.62,175792.71,Approved,,7.03,Variable,0,,166796.65,8996.06,True,Property,368067.24,652,Defaulted,0,0
104,3477,8,49,20230415,20230426.0,795086.14,682213.29,Approved,,5.23,Fixed,240,4589.44,580718.89,101494.4,True,Property,1075977.53,615,Current,0,0
105,3363,9,5,20230103,,127299.57,,Rejected,High Debt-to-Income Ratio,,Variable,0,,,,True,Property,249401.38,667,,0,0
106,3398,9,11,20220524,20220609.0,231064.16,209498.33,Approved,,7.2,Variable,0,,163190.52,46307.81,True,Property,493580.92,712,Current,0,0
107,2003,7,33,20220920,20221014.0,49461.25,43852.02,Approved,,7.01,Fixed,24,1963.57,41725.96,2126.06,False,,,830,Current,2,60
108,840,7,5,20220415,20220422.0,49966.29,46772.39,Approved,,6.02,Fixed,60,904.68,45677.12,1095.27,False,,,693,Current,0,0
109,65,7,35,20220603,20220606.0,5178.3,4788.95,Approved,,9.88,Fixed,48,121.18,4530.76,258.19,False,,,700,Current,2,60
110,1438,8,6,20220220,20220223.0,917202.15,872428.38,Approved,,7.35,Fixed,300,6362.29,709237.66,163190.72,True,Property,1239268.41,674,Current,0,0
111,2965,8,31,20220621,20220717.0,527822.24,491842.36,Approved,,6.26,Fixed,300,3247.57,391123.56,100718.8,True,Property,690799.41,526,Delinquent,1,30
112,3234,7,47,20220509,20220526.0,38737.95,35071.2,Approved,,9.82,Fixed,48,886.47,34124.79,946.41,False,,,677,Current,0,0
113,351,7,10,20231023,20231101.0,29194.85,29157.77,Approved,,4.81,Fixed,48,668.98,21296.92,7860.85,False,,,684,Current,0,0
114,4313,9,34,20230221,20230309.0,227332.69,224762.07,Approved,,5.4,Variable,0,,199571.56,25190.51,True,Property,559127.33,877,Current,0,0
115,2152,9,50,20220204,20220213.0,197160.24,192285.25,Approved,,5.81,Variable,0,,143909.71,48375.54,True,Property,297418.41,664,Current,0,0
116,3754,8,49,20230911,20230930.0,513533.86,513522.63,Approved,,6.97,Fixed,240,3972.09,428144.73,85377.9,True,Property,617991.26,704,Current,0,0
117,1753,7,4,20220206,20220304.0,25126.71,22080.44,Approved,,10.79,Fixed,60,477.77,15554.2,6526.24,False,,,677,Current,0,0
118,1137,9,49,20220808,20220818.0,99089.56,92083.39,Approved,,4.59,Variable,0,,81731.05,10352.34,True,Property,191984.74,586,Current,0,0
119,3603,8,18,20220426,20220502.0,1009231.42,864855.23,Approved,,5.58,Fixed,300,5352.37,816867.83,47987.4,True,Property,1129488.48,771,Current,0,0
120,3994,9,44,20231011,20231028.0,229804.7,216136.87,Approved,,4.55,Variable,0,,159583.55,56553.32,True,Property,353703.03,740,Current,0,0
121,3592,9,41,20220930,20221022.0,149580.18,135923.13,Approved,,6.32,Variable,0,,125736.53,10186.6,True,Property,300850.75,743,Current,0,0
122,1761,9,23,20220625,,182507.48,,Pending,,,Variable,0,,,,True,Property,427458.59,607,,0,0
123,1489,9,22,20220425,,114322.35,,Pending,,,Variable,0,,,,True,Property,232066.64,792,,0,0
124,1984,8,11,20230113,20230208.0,393107.15,388754.32,Approved,,7.34,Fixed,300,2832.52,363135.2,25619.12,True,Property,452770.79,567,Current,0,0
125,2087,8,13,20231211,,551887.09,,Rejected,Insufficient Income,,Fixed,300,,,,True,Property,659407.77,726,,0,0
126,3310,9,3,20220906,20221004.0,263696.61,252255.2,Approved,,6.02,Variable,0,,204900.4,47354.8,True,Property,479377.78,855,Current,0,0
127,782,7,25,20220411,20220421.0,12230.08,11870.81,Approved,,8.29,Fixed,24,538.46,10222.33,1648.48,False,,,600,Current,0,0
128,29,8,5,20230517,20230524.0,1169591.56,1104641.67,Approved,,5.46,Fixed,240,7573.76,815842.35,288799.32,True,Property,1321953.6,634,Current,0,0
129,2334,9,29,20220709,20220730.0,72286.62,64494.93,Approved,,6.05,Variable,0,,51029.24,13465.69,True,Property,180255.42,687,Delinquent,0,0
130,3324,7,8,20230917,20230929.0,17401.2,16560.4,Approved,,4.89,Fixed,48,380.55,13127.04,3433.36,False,,,639,Current,0,0
131,4801,9,21,20221229,20230116.0,160718.84,151757.31,Approved,,4.84,Variable,0,,117560.22,34197.09,True,Property,375185.92,555,Current,0,0
132,3032,9,25,20231124,20231210.0,97646.43,91210.11,Approved,,6.21,Variable,0,,73928.36,17281.75,True,Property,154563.69,685,Current,0,0
133,4797,9,34,20230421,20230506.0,231251.31,199811.08,Approved,,5.96,Variable,0,,141661.31,58149.77,True,Property,566647.22,595,Current,0,0
134,1485,7,33,20231016,20231102.0,46638.12,46106.1,Approved,,11.91,Fixed,60,1023.51,36523.91,9582.19,False,,,717,Current,0,0
135,4503,9,38,20220519,,77884.38,,Rejected,Insufficient Income,,Variable,0,,,,True,Property,158813.79,606,,0,0
136,681,7,39,20230925,20231014.0,41920.25,37408.94,Approved,,10.06,Fixed,60,795.93,32560.27,4848.67,False,,,803,Current,1,30
137,1973,8,6,20220317,,941637.77,,Rejected,High Debt-to-Income Ratio,,Fixed,240,,,,True,Property,1073297.77,617,,0,0
138,377,9,44,20231118,20231204.0,185538.65,172084.98,Approved,,5.19,Variable,0,,163579.59,8505.39,True,Property,286532.23,654,Current,0,0
139,932,8,5,20220220,20220311.0,474783.57,414720.73,Approved,,5.11,Fixed,300,2451.07,298844.14,115876.59,True,Property,604328.52,745,Delinquent,0,0
140,4198,8,47,20221119,20221119.0,1198071.33,1059760.4,Approved,,5.87,Fixed,300,6744.08,752785.18,306975.22,True,Property,1410710.58,581,Current,0,0
141,3238,8,18,20220108,,534975.46,,Rejected,High Debt-to-Income Ratio,,Fixed,240,,,,True,Property,717490.1,698,,0,0
142,3884,8,10,20220318,20220321.0,526482.61,481484.73,Approved,,6.87,Fixed,300,3363.21,413176.78,68307.95,True,Property,683884.88,784,Current,1,30
143,1723,7,25,20221223,20221229.0,44418.65,42869.05,Approved,,10.82,Fixed,60,928.23,34489.13,8379.92,False,,,551,Current,0,0
144,4107,9,27,20230402,20230402.0,81444.31,75313.57,Approved,,5.25,Variable,0,,69739.5,5574.07,True,Property,149938.82,694,Current,0,0
145,2739,7,11,20221228,20230126.0,43234.94,41362.28,Approved,,5.3,Fixed,24,1820.18,36754.78,4607.5,False,,,700,Current,0,0
146,1267,7,36,20220318,,29836.15,,Rejected,High Debt-to-Income Ratio,,Fixed,60,,,,False,,,742,,0,0
147,257,9,17,20230111,,240358.89,,Rejected,Insufficient Income,,Variable,0,,,,True,Property,397777.46,581,,0,0
148,1967,7,19,20230729,20230818.0,45940.56,40197.07,Approved,,8.8,Fixed,48,996.49,36863.06,3334.01,False,,,574,Current,0,0
149,4570,9,3,20230108,,173058.19,,Pending,,,Variable,0,,,,True,Property,400045.13,721,,0,0
150,3435,8,27,20230808,20230817.0,234597.64,216278.9,Approved,,6.98,Fixed,240,1674.21,180581.11,35697.79,True,Property,325034.02,703,Paid Off,0,0
151,1780,8,4,20220109,20220201.0,285476.47,257542.81,Approved,,4.23,Fixed,300,1392.33,236549.07,20993.74,True,Property,407174.54,700,Current,0,0
152,3543,7,29,20230626,20230704.0,46192.96,45068.81,Approved,,5.19,Fixed,48,1041.79,32798.02,12270.79,False,,,707,Current,0,0
153,3960,9,3,20231209,,290338.63,,Rejected,High Debt-to-Income Ratio,,Variable,0,,,,True,Property,564541.23,625,,0,0
154,184,9,13,20220928,20221019.0,175201.23,169858.62,Approved,,4.05,Variable,0,,132737.85,37120.77,True,Property,284697.22,698,Current,0,0
155,4457,8,23,20231108,20231206.0,862846.24,787734.21,Approved,,6.82,Fixed,240,6022.47,689462.29,98271.92,True,Property,1176094.46,703,Delinquent,0,0
156,3730,7,49,20220414,20220430.0,7777.16,7611.1,Approved,,10.6,Fixed,48,195.24,5870.65,1740.45,False,,,622,Paid Off,0,0
157,1741,9,1,20230627,20230725.0,126485.12,115284.75,Approved,,7.21,Variable,0,,100865.92,14418.83,True,Property,229972.5,829,Current,0,0
158,2957,9,43,20220128,,273834.01,,Pending,,,Variable,0,,,,True,Property,586402.17,717,,0,0
159,1846,7,22,20231201,20231207.0,40558.51,39655.26,Approved,,6.48,Fixed,60,775.53,29653.41,10001.85,False,,,584,Current,0,0
160,530,9,26,20220731,20220826.0,189765.25,189347.93,Approved,,6.88,Variable,0,,146980.36,42367.57,True,Property,401592.63,732,Current,0,0
161,4716,7,32,20221218,20230110.0,29917.44,28172.05,Approved,,7.46,Fixed,36,875.81,23867.21,4304.84,False,,,602,Current,0,0
162,4068,9,34,20231221,,82537.98,,Rejected,Low Credit Score,,Variable,0,,,,True,Property,164720.27,742,,0,0
163,213,9,22,20220225,,234187.7,,Rejected,Employment History,,Variable,0,,,,True,Property,415307.31,772,,0,0
164,1386,7,48,20230505,,21691.76,,Pending,,,Fixed,24,,,,False,,,614,,0,0
165,4284,7,23,20220503,20220512.0,12203.7,11300.66,Approved,,5.86,Fixed,24,500.14,10900.53,400.13,False,,,757,Current,3,90
166,2316,7,12,20230726,20230801.0,25794.55,23970.61,Approved,,7.6,Fixed,60,481.46,19258.02,4712.59,False,,,713,Current,0,0
167,2585,8,12,20230723,20230809.0,844551.44,748459.9,Approved,,4.63,Fixed,240,4787.81,553575.71,194884.19,True,Property,1110198.05,745,Current,0,0
168,3888,7,24,20220228,,48050.2,,Rejected,Incomplete Application,,Fixed,36,,,,False,,,831,,0,0
169,3872,7,16,20220822,20220910.0,23085.85,22105.06,Approved,,10.27,Fixed,48,563.51,16466.27,5638.79,False,,,660,Current,0,0
170,2878,8,31,20220819,,262860.81,,Rejected,Employment History,,Fixed,240,,,,True,Property,316764.26,619,,0,0
171,2101,7,4,20221215,,10383.52,,Rejected,Low Credit Score,,Fixed,24,,,,False,,,608,,0,0
172,2694,7,32,20220120,20220129.0,37357.57,32762.1,Approved,,10.0,Fixed,60,696.1,28632.04,4130.06,False,,,614,Current,1,30
173,3393,8,19,20230926,20231016.0,1011640.63,1003944.35,Approved,,7.47,Fixed,300,7399.48,857701.46,146242.89,True,Property,1154302.29,673,Current,0,0
174,4153,9,2,20221012,20221110.0,88331.51,75390.86,Approved,,6.79,Variable,0,,62195.71,13195.15,True,Property,155659.24,707,Delinquent,0,0
175,200,7,22,20220913,20221007.0,13585.09,12317.47,Approved,,5.99,Fixed,60,238.07,9093.62,3223.85,False,,,702,Current,0,0
176,1589,8,8,20221007,20221010.0,720676.78,667241.9,Approved,,7.39,Fixed,240,5330.47,630141.17,37100.73,True,Property,952024.08,746,Current,1,30
177,4730,7,43,20231002,20231023.0,17286.74,16660.78,Approved,,9.75,Fixed,24,766.89,15521.95,1138.83,False,,,681,Current,0,0
178,136,8,15,20220402,20220421.0,988854.32,948905.22,Approved,,5.95,Fixed,240,6770.91,764132.17,184773.05,True,Property,1290642.07,796,Current,0,0
179,2935,9,22,20221217,20221218.0,249566.49,224582.66,Approved,,5.92,Variable,0,,176177.09,48405.57,True,Property,449484.2,658,Current,0,0
180,1484,8,33,20220205,20220209.0,600609.23,531599.33,Approved,,5.63,Fixed,240,3695.95,508904.62,22694.71,True,Property,881525.71,897,Delinquent,0,0
181,2045,8,49,20221202,20221202.0,232370.77,220229.75,Approved,,4.47,Fixed,300,1220.36,191058.87,29170.88,True,Property,337426.44,730,Current,0,0
182,3053,8,34,20220723,20220725.0,291720.23,256813.59,Approved,,5.07,Fixed,300,1511.8,224042.66,32770.93,True,Property,354336.77,611,Current,0,0
183,2479,7,17,20231014,20231019.0,7405.01,6644.45,Approved,,11.47,Fixed,24,311.14,5554.6,1089.85,False,,,594,Current,0,0
184,3470,9,11,20220310,20220310.0,95699.14,91808.36,Approved,,6.66,Variable,0,,84658.46,7149.9,True,Property,182438.91,718,Current,0,0
185,374,7,44,20220508,20220604.0,26050.65,24338.8,Approved,,7.48,Fixed,36,756.86,22723.13,1615.67,False,,,662,Current,0,0
186,1648,9,15,20231105,20231122.0,175723.17,162745.18,Approved,,5.82,Variable,0,,131647.71,31097.47,True,Property,271035.19,737,Current,0,0
187,463,8,1,20221222,20230120.0,541550.02,460870.91,Approved,,5.02,Fixed,300,2699.58,430550.87,30320.04,True,Property,634058.63,717,Current,0,0
188,2544,8,25,20230202,20230204.0,1071995.11,956440.29,Approved,,7.47,Fixed,240,7687.48,769484.47,186955.82,True,Property,1507762.02,674,Current,0,0
189,3077,7,2,20220527,,10133.29,,Rejected,Incomplete Application,,Fixed,24,,,,False,,,612,,0,0
190,2164,8,33,20230101,20230106.0,1043680.42,899930.13,Approved,,5.5,Fixed,240,6190.51,775256.36,124673.77,True,Property,1517841.46,558,Current,0,0
191,403,9,33,20220312,20220405.0,278417.09,243703.4,Approved,,4.78,Variable,0,,182911.8,60791.6,True,Property,459533.78,644,Current,0,0
192,3850,7,45,20230130,20230207.0,13695.29,11974.04,Approved,,8.41,Fixed,48,294.63,10106.63,1867.41,False,,,748,Current,2,60
193,1001,7,22,20230927,20231013.0,23739.11,21876.03,Approved,,4.96,Fixed,60,412.43,19162.97,2713.06,False,,,697,Paid Off,0,0
