account_id,customer_id,product_id,location_id,open_date_id,close_date_id,account_status,current_balance,credit_limit,original_amount,relationship_manager_id,overdraft_limit,last_activity_date
70,23,1,18,20231221,,Active,45003.52,,,8,500.0,2023-12-22
71,23,8,24,20221218,20230206.0,Closed,720408.59,,904849.91,100,,2023-01-13
72,23,3,44,20160917,,Active,53083.29,,,38,,2020-12-18
73,23,6,6,20151016,,Active,4769.66,25000.0,,3,,2017-09-09
74,24,1,6,20230414,,Active,14790.96,,,66,500.0,2023-05-24
75,24,4,27,20201218,,Active,125809.38,,,42,,2023-04-18
76,24,2,30,20220314,,Active,1898.41,,,71,,2023-12-03
77,24,7,24,20220112,,Active,2506.05,,19599.42,40,,2022-09-15
78,25,1,30,20190102,,Active,28730.91,,,48,500.0,2019-08-27
79,25,3,1,20220425,,Active,152066.96,,,57,,2023-06-28
80,26,1,43,20210430,,Active,4724.54,,,55,500.0,2022-07-07
81,26,8,7,20200707,,Active,270528.06,,312745.28,22,,2020-09-18
82,26,2,36,20220901,,Active,13201.46,,,27,,2022-12-08
83,26,10,39,20200421,,Active,0.0,,,41,,2022-12-29
84,27,1,45,20210709,,Active,36879.36,,,53,500.0,2023-07-16
85,27,7,27,20231213,,Active,34861.42,,43094.27,77,,2023-12-14
86,27,10,8,20200127,,Active,0.0,,,48,,2020-02-12
87,27,6,17,20190807,,Active,11749.3,25000.0,,77,,2023-04-09
88,27,3,34,20220619,20230320.0,Closed,177397.13,,,83,,2022-09-15
89,28,1,46,20210117,,Active,637.39,,,29,500.0,2021-02-03
90,28,8,40,20231203,,Active,156758.78,,276957.55,98,,2023-12-25
91,29,1,31,20220815,,Active,47578.91,,,27,500.0,2023-03-29
92,29,7,36,20210428,,Active,25781.37,,32040.54,45,,2023-06-17
93,29,8,31,20230106,,Active,513007.09,,860446.53,46,,2023-06-22
94,29,6,18,20211016,,Active,7297.4,15000.0,,76,,2023-02-12
95,30,1,8,20171009,,Active,43548.29,,,72,500.0,2021-03-26
96,30,5,43,20170517,,Active,126346.32,,,89,,2020-01-11
97,30,9,15,20211223,,Active,13209.99,220191.97,,30,,2022-01-25
98,30,7,11,20160103,,Active,26026.42,,32454.72,27,,2016-07-10
99,31,1,29,20231107,,Active,4168.73,,,2,500.0,2023-12-04
100,31,6,10,20230922,,Active,26671.69,50000.0,,63,,2023-10-31
101,31,5,27,20230327,,Active,154604.13,,,31,,2023-08-30
102,32,1,3,20220904,,Active,30852.58,,,66,500.0,2023-09-04
103,32,10,13,20210917,,Active,0.0,,,87,,2023-09-19
104,32,9,33,20200919,,Active,2353.07,93169.26,,19,,2022-08-30
105,33,1,43,20231005,,Active,26001.06,,,92,500.0,2023-12-28
106,33,2,39,20221129,,Active,15971.05,,,63,,2023-04-17
107,34,1,23,20201221,,Active,12845.02,,,61,500.0,2021-08-24
108,34,10,49,20210518,,Active,0.0,,,5,,2022-09-08
109,34,3,43,20210331,,Active,194505.5,,,44,,2021-08-19
110,35,1,9,20170817,,Active,14803.34,,,36,500.0,2019-08-14
111,35,2,46,20220520,,Active,24978.3,,,16,,2023-06-19
112,35,10,50,20220407,,Active,0.0,,,84,,2022-05-09
113,35,7,7,20200304,,Active,38529.76,,49303.61,31,,2023-06-26
114,35,8,3,20210123,,Active,526116.71,,875964.67,29,,2022-03-15
115,36,1,46,20190418,,Active,8611.27,,,82,500.0,2020-06-23
116,36,2,16,20161205,,Active,11239.23,,,45,,2023-12-07
117,36,7,49,20180131,,Active,7744.76,,15468.9,21,,2021-04-03
118,36,9,10,20190315,20210527.0,Closed,34645.75,207042.67,,79,,2023-03-22
119,36,8,36,20211018,,Active,707379.61,,888880.86,48,,2021-10-31
120,37,1,41,20201229,,Active,22639.01,,,7,500.0,2021-08-02
121,37,8,7,20211216,,Active,137783.34,,243556.64,17,,2022-02-02
122,37,4,50,20210729,,Active,91955.2,,,85,,2022-08-05
123,37,2,41,20230409,,Active,14295.47,,,82,,2023-08-02
124,37,10,14,20221103,,Active,0.0,,,50,,2023-07-17
125,38,1,47,20190808,,Active,34836.06,,,43,500.0,2020-07-19
126,38,4,7,20201226,20230628.0,Closed,170882.48,,,31,,2021-02-24
127,39,1,37,20231204,20231218.0,Closed,6715.97,,,11,500.0,2023-12-29
128,39,8,38,20200122,,Active,540760.9,,726641.18,76,,2021-11-25
129,39,7,38,20221126,,Active,14278.85,,17220.91,36,,2023-02-15
130,40,1,43,20200927,,Active,42147.83,,,98,500.0,2021-06-02
131,40,9,20,20231209,20231220.0,Closed,67819.13,172373.95,,17,,2023-12-17
132,40,4,24,20180420,,Active,90105.9,,,53,,2021-10-15
133,40,10,17,20220914,,Active,0.0,,,76,,2023-06-29
134,41,1,19,20230926,,Active,16345.57,,,39,500.0,2023-10-20
135,41,6,24,20201020,,Active,4856.36,10000.0,,63,,2021-05-20
136,42,1,9,20230312,,Active,8086.55,,,91,500.0,2023-10-07
137,42,3,35,20220220,,Active,151485.19,,,86,,2023-11-25
138,42,6,2,20220525,,Active,1326.17,5000.0,,72,,2023-10-29
139,43,1,36,20200731,,Active,23835.4,,,38,500.0,2023-07-11
140,43,2,39,20190924,,Active,11956.02,,,13,,2020-01-19
141,43,6,40,20230719,,Active,4920.33,10000.0,,64,,2023-08-14
142,43,3,40,20180823,,Active,105859.9,,,28,,2019-01-04
143,44,1,48,20170128,,Active,49824.74,,,16,500.0,2019-08-29
144,44,9,17,20181122,,Active,8553.86,112839.8,,15,,2023-05-18
145,44,4,49,20200330,,Active,64150.08,,,1,,2021-02-06
146,45,1,31,20190123,,Active,9383.29,,,18,500.0,2022-01-24
147,45,10,30,20210609,,Active,0.0,,,19,,2023-01-04
148,45,5,5,20210520,20230106.0,Closed,60206.92,,,77,,2023-07-01
149,45,4,31,20231128,,Active,44090.41,,,7,,2023-12-28
150,46,1,39,20220706,,Active,45860.0,,,72,500.0,2023-03-12
151,46,2,32,20190519,,Active,27821.09,,,59,,2021-04-02
152,46,8,1,20210421,,Active,666416.85,,1156042.84,68,,2021-07-25
153,46,3,41,20191024,,Active,106359.24,,,59,,2023-01-22
154,46,9,12,20180812,,Active,60230.86,220596.48,,54,,2019-10-11
155,47,1,50,20210529,,Active,49391.66,,,48,500.0,2023-04-30
156,47,4,36,20221207,,Active,145724.87,,,67,,2023-02-28
157,47,3,46,20200211,,Active,101972.61,,,89,,2021-02-12
158,47,6,34,20171019,,Active,11690.23,25000.0,,16,,2020-07-31
159,47,8,18,20200425,,Active,788004.83,,999008.1,24,,2022-02-25
160,48,1,1,20221005,,Active,39023.39,,,53,500.0,2023-01-28
161,48,9,48,20230123,,Active,45966.24,100118.56,,84,,2023-03-13
162,48,5,13,20230428,,Active,64512.73,,,40,,2023-09-03
163,49,1,7,20220530,,Active,22741.79,,,99,500.0,2022-09-19
164,49,6,18,20181022,,Active,1094.53,2500.0,,7,,2019-07-30
165,50,1,41,20200406,,Active,38781.27,,,99,500.0,2023-09-19
166,50,5,2,20221021,,Active,7355.02,,,79,,2023-11-09
167,50,4,49,20201128,,Active,136457.04,,,59,,2021-06-05
168,50,9,19,20190728,,Active,15956.59,144045.0,,83,,2021-08-26
169,51,1,17,20191007,,Active,8618.28,,,62,500.0,2021-09-02
170,51,10,37,20201004,,Active,0.0,,,95,,2022-10-24
171,51,9,6,20230123,20230603.0,Closed,76790.77,171484.92,,22,,2023-02-03
172,52,1,4,20220915,,Active,49234.98,,,19,500.0,2023-01-05
173,52,10,8,20210401,,Active,0.0,,,73,,2022-08-11
174,52,8,31,20221013,,Active,845774.99,,1036055.46,98,,2023-12-26
175,53,1,12,20220507,,Active,31211.97,,,5,500.0,2023-10-06
176,53,6,5,20221107,,Active,6120.52,15000.0,,46,,2022-12-06
177,54,1,50,20180830,,Active,4592.2,,,73,500.0,2023-07-13
178,54,10,33,20171215,,Active,0.0,,,74,,2018-02-14
179,55,1,7,20180102,,Active,45715.34,,,69,500.0,2018-04-07
180,55,8,2,20200329,20220803.0,Closed,367757.14,,572434.53,97,,2022-06-22
181,55,10,29,20231118,,Active,0.0,,,50,,2023-11-21
182,56,1,22,20200220,,Active,19509.24,,,61,500.0,2021-08-30
183,56,4,3,20190422,,Active,5876.21,,,3,,2019-09-23
184,57,1,38,20180219,,Active,15681.54,,,100,500.0,2023-09-22
185,57,8,36,20191101,,Active,545627.18,,674786.62,35,,2022-03-21
186,57,7,6,20220306,,Active,15458.89,,25296.29,96,,2023-06-15
187,58,1,4,20231111,20231207.0,Closed,19481.48,,,23,500.0,2023-12-28
188,58,6,35,20200807,,Active,8451.79,15000.0,,21,,2020-09-30
189,58,7,9,20220723,,Active,10734.6,,13716.25,43,,2023-06-09
190,58,10,6,20190201,,Active,0.0,,,18,,2022-02-10
191,59,1,49,20180914,,Active,10358.41,,,93,500.0,2019-09-19
192,59,10,10,20230502,,Active,0.0,,,49,,2023-11-06
193,59,2,24,20231206,,Active,22089.0,,,5,,2023-12-16
194,60,1,44,20161229,,Active,46640.85,,,45,500.0,2023-06-08
195,60,9,21,20230225,,Active,86067.65,298971.27,,37,,2023-08-05
196,60,6,49,20221115,,Active,13766.03,50000.0,,91,,2023-09-21
197,61,1,6,20220515,,Active,21681.59,,,39,500.0,2023-02-09
198,61,9,4,20200912,,Active,130849.04,274844.42,,27,,2021-03-05
199,61,8,19,20220221,,Active,416604.21,,425306.6,21,,2022-12-13
200,61,3,11,20210120,,Active,41600.71,,,33,,2023-01-14
201,62,1,27,20211102,,Active,6371.57,,,90,500.0,2022-12-04
202,62,9,29,20220402,,Active,10411.79,68468.88,,76,,2022-07-18
203,62,8,22,20220203,20230417.0,Closed,982259.05,,1004746.64,22,,2023-04-03
204,63,1,28,20210113,20230222.0,Closed,29908.85,,,34,500.0,2022-07-12
205,63,6,39,20200622,,Active,640.89,2500.0,,58,,2021-12-30
206,63,4,15,20221229,,Active,75712.81,,,62,,2023-01-07
207,63,7,26,20210822,,Active,37221.4,,42888.32,6,,2021-10-23
208,64,1,32,20180807,,Active,25627.68,,,29,500.0,2019-07-27
209,64,5,8,20200320,20220517.0,Closed,86211.54,,,45,,2021-07-19
210,64,6,37,20171101,,Active,820.93,5000.0,,78,,2023-02-28
211,64,8,48,20221027,,Active,615350.5,,1126981.47,82,,2023-08-02
212,65,1,23,20220418,,Active,341.06,,,3,500.0,2023-09-05
213,65,7,30,20220830,,Active,12939.37,,16750.11,79,,2022-10-05
214,65,6,27,20220618,,Active,492.62,1000.0,,71,,2023-06-08
215,65,8,34,20230825,20231021.0,Closed,618491.52,,1004596.76,92,,2023-12-17
216,66,1,36,20220401,,Active,13219.24,,,58,500.0,2023-09-02
217,66,7,50,20210409,,Active,18231.75,,32581.82,98,,2022-12-30
218,66,5,23,20220712,,Active,52728.31,,,94,,2022-08-21
219,66,9,4,20181209,,Active,26287.77,90505.9,,94,,2023-01-22
220,67,1,21,20230409,,Active,39883.4,,,52,500.0,2023-11-22
221,67,6,44,20230413,,Active,10285.29,15000.0,,68,,2023-06-09
222,67,5,29,20171208,,Active,161553.06,,,67,,2019-02-25
223,67,9,31,20210125,,Active,121818.99,268500.66,,24,,2021-09-19
224,68,1,1,20210407,,Active,16744.17,,,70,500.0,2021-09-27
225,68,5,34,20210724,,Active,192719.65,,,87,,2022-05-29
226,68,2,17,20180904,,Active,44320.34,,,48,,2020-01-03
227,68,8,15,20211222,,Active,972583.24,,1046115.58,87,,2022-08-27
228,69,1,37,20230926,20231026.0,Closed,35723.12,,,79,500.0,2023-12-17
229,69,4,11,20210811,,Active,93367.97,,,28,,2021-09-20
230,69,6,1,20191108,,Active,14.19,1000.0,,93,,2021-01-05
231,69,5,24,20200831,,Active,159562.29,,,79,,2021-04-01
232,69,8,50,20211012,,Active,209089.45,,390533.28,72,,2022-11-10
233,70,1,3,20230208,,Active,40750.98,,,73,500.0,2023-06-26
234,70,7,41,20210615,,Active,6075.37,,21932.17,3,,2023-11-19
235,70,9,7,20230710,20231113.0,Closed,26058.39,127940.96,,80,,2023-10-17
236,70,2,37,20210722,,Active,7969.95,,,85,,2023-10-15
237,71,1,1,20211109,,Active,16472.56,,,50,500.0,2023-04-21
238,71,2,10,20221014,,Active,36028.88,,,91,,2022-11-05
239,71,5,34,20211002,,Active,154860.16,,,76,,2023-04-11
240,72,1,3,20190901,,Active,41640.49,,,97,500.0,2022-09-13
241,72,3,2,20230802,,Active,141673.62,,,80,,2023-09-24
242,72,10,34,20231013,,Active,0.0,,,34,,2023-12-23
243,73,1,45,20220228,,Active,23856.97,,,30,500.0,2023-10-20
244,73,9,27,20190607,,Active,15455.31,292774.76,,74,,2023-04-27
245,73,2,40,20230730,,Active,22426.82,,,22,,2023-12-05
246,74,1,26,20231016,,Active,909.58,,,82,500.0,2023-12-28
247,74,8,19,20230406,,Active,606842.94,,851816.87,7,,2023-12-30
248,74,2,4,20180602,20210818.0,Closed,34483.09,,,9,,2020-12-24
249,75,1,26,20230606,,Active,34484.16,,,49,500.0,2023-10-31
250,75,4,1,20210707,,Active,15198.07,,,49,,2023-03-11
251,75,7,16,20220217,,Active,10646.97,,28699.13,59,,2022-10-10
252,76,1,1,20200720,20210719.0,Closed,1132.02,,,20,500.0,2020-09-04
253,76,9,45,20201111,,Active,4849.8,83102.12,,51,,2021-02-22
254,77,1,3,20180319,,Active,42258.93,,,16,500.0,2023-01-23
255,77,5,49,20191030,,Active,166614.66,,,70,,2019-12-27
256,77,2,37,20221010,,Active,36723.53,,,26,,2022-12-06
257,78,1,40,20201109,,Active,23213.77,,,67,500.0,2022-08-05
258,78,3,3,20230625,,Active,168774.45,,,15,,2023-08-25
259,78,2,6,20221011,,Active,15315.29,,,100,,2023-10-06
260,78,8,10,20230630,,Active,251675.17,,429372.04,96,,2023-07-16
261,79,1,9,20231130,,Active,12938.83,,,76,500.0,2023-12-06
262,79,3,25,20220113,,Active,101867.03,,,16,,2023-07-12
263,80,1,2,20230514,20230824.0,Closed,43729.67,,,20,500.0,2023-05-15
264,80,4,20,20211223,,Active,51383.93,,,77,,2023-08-27
265,80,3,11,20220209,,Active,66041.05,,,91,,2022-10-17
266,81,1,10,20180714,,Active,33202.44,,,42,500.0,2020-04-07
267,81,4,34,20210413,,Active,53411.53,,,7,,2023-09-27
268,81,3,23,20221218,,Active,93854.43,,,80,,2023-03-06
269,82,1,42,20230523,,Active,48422.7,,,99,500.0,2023-08-29
270,82,7,12,20210811,,Active,12805.45,,14687.13,30,,2022-08-03
271,82,2,21,20211212,,Active,23201.0,,,37,,2022-07-10
272,82,3,8,20210412,,Active,100049.73,,,88,,2022-09-16
273,83,1,40,20201216,,Active,34541.24,,,82,500.0,2021-06-27
274,83,4,50,20230102,,Active,47786.06,,,68,,2023-10-03
275,83,2,47,20210721,,Active,21323.04,,,60,,2022-01-19
276,83,3,11,20201213,,Active,104094.47,,,23,,2023-01-17
277,83,9,13,20201106,,Active,937.09,172299.04,,79,,2023-09-03
278,84,1,45,20210910,,Active,11596.53,,,75,500.0,2022-02-05
279,84,6,29,20181019,,Active,2739.85,10000.0,,97,,2020-09-13
280,85,1,46,20201128,,Active,47371.34,,,78,500.0,2021-11-11
281,85,4,20,20200107,,Active,189149.0,,,79,,2020-08-29
282,85,8,17,20191128,,Active,892148.15,,1106925.36,92,,2019-12-06
283,85,2,20,20200501,,Active,49200.82,,,77,,2022-05-03
284,86,1,47,20230531,,Active,42450.32,,,39,500.0,2023-09-19
285,86,6,46,20200531,,Active,1637.21,5000.0,,16,,2021-08-15
286,86,7,8,20210415,,Active,25287.13,,41685.02,45,,2023-05-13
287,87,1,14,20210523,,Active,37344.36,,,82,500.0,2022-05-29
288,87,4,30,20211208,,Active,104703.79,,,99,,2023-10-20
289,88,1,21,20170829,,Active,21369.87,,,33,500.0,2019-01-24
290,88,4,19,20170420,,Active,107324.68,,,17,,2022-04-20
291,88,9,19,20211002,,Active,37507.72,126279.76,,55,,2022-10-30
292,89,1,2,20200429,20230825.0,Closed,44622.38,,,93,500.0,2021-07-02
293,89,7,15,20200712,20210411.0,Closed,26470.63,,33944.02,50,,2021-03-17
294,89,6,37,20211119,,Active,29790.24,50000.0,,38,,2022-11-10
295,89,10,13,20200720,,Active,0.0,,,71,,2022-08-02
296,90,1,47,20161208,,Active,47825.28,,,32,500.0,2020-01-05
297,90,4,33,20200222,,Active,78131.85,,,21,,2021-03-29
298,90,5,34,20150825,,Active,155064.37,,,77,,2017-05-05
299,90,3,24,20200904,,Active,153270.49,,,99,,2021-08-25
300,90,8,41,20211022,,Active,449355.03,,568587.85,20,,2023-02-09
301,91,1,30,20220814,,Active,40492.83,,,82,500.0,2023-03-02
302,91,5,5,20231006,,Active,158675.24,,,47,,2023-10-06
303,91,2,1,20210506,,Active,24142.88,,,13,,2023-08-17
304,91,9,6,20220903,,Active,15503.72,269162.07,,46,,2022-10-09
305,92,1,5,20220403,,Active,7772.77,,,46,500.0,2023-06-25
306,92,10,18,20231031,,Active,0.0,,,21,,2023-11-22
307,92,3,35,20221126,,Active,23517.79,,,60,,2022-11-28
308,92,7,37,20211205,,Active,17172.94,,46375.42,100,,2023-06-15
309,93,1,41,20150702,,Active,22479.59,,,47,500.0,2016-11-28
310,93,5,48,20170519,20210815.0,Closed,177509.65,,,78,,2022-01-20
311,94,1,42,20230902,,Active,3311.27,,,78,500.0,2023-10-16
312,94,4,2,20221008,,Active,19403.0,,,83,,2023-02-14
313,94,3,15,20220801,,Active,53695.63,,,2,,2023-12-27
314,94,8,49,20190719,20221220.0,Closed,401024.4,,659430.1,2,,2019-08-04
315,95,1,27,20220825,,Active,22378.8,,,81,500.0,2022-12-18
316,95,7,12,20221217,,Active,3264.1,,5383.44,49,,2023-06-30
317,95,8,29,20231214,,Active,1041504.9,,1134239.29,54,,2023-12-17
318,95,6,6,20230118,,Active,11223.51,25000.0,,40,,2023-10-28
319,96,1,33,20230728,,Active,42991.36,,,61,500.0,2023-08-31
320,96,2,18,20200112,,Active,13888.43,,,24,,2020-05-23
321,96,9,15,20191208,,Active,18347.96,273792.64,,4,,2020-11-12
322,97,1,47,20210523,,Active,10017.74,,,26,500.0,2021-11-08
323,97,6,48,20210726,,Active,8859.53,25000.0,,9,,2021-12-08
324,97,8,45,20221118,,Active,424204.3,,500463.85,70,,2023-01-26
325,97,2,20,20210113,,Active,41672.07,,,7,,2021-11-03
326,98,1,38,20191130,,Active,27926.54,,,38,500.0,2023-06-25
327,98,6,33,20211024,,Active,467.54,5000.0,,76,,2022-05-27
328,98,9,22,20180311,,Active,83383.47,255898.94,,78,,2023-12-20
329,99,1,22,20170312,,Active,39900.76,,,45,500.0,2022-04-03
330,99,10,2,20211125,,Active,0.0,,,94,,2023-05-26
331,99,4,8,20221002,,Active,56633.69,,,3,,2023-02-04
332,100,1,8,20220611,,Active,30593.25,,,15,500.0,2022-07-13
333,100,6,34,20201105,,Active,16562.81,50000.0,,42,,2023-03-03
334,101,1,47,20211224,,Active,32480.56,,,45,500.0,2023-02-10
335,101,7,9,20200914,,Active,13297.9,,32897.56,96,,2021-12-03
336,101,5,14,20230425,,Active,36168.51,,,31,,2023-12-24
337,101,6,47,20190329,,Active,8443.38,50000.0,,2,,2020-05-12
338,102,1,13,20210620,,Active,36937.84,,,77,500.0,2022-06-18
339,102,4,41,20220323,,Active,132094.59,,,48,,2023-08-21
340,103,1,48,20170909,,Active,24425.7,,,28,500.0,2019-06-29
341,103,5,11,20180629,,Active,163610.77,,,40,,2023-04-14
342,103,9,3,20190408,,Active,56254.93,229848.14,,16,,2020-01-11
343,104,1,32,20221015,20230706.0,Closed,17617.67,,,31,500.0,2023-05-05
344,104,3,13,20230828,,Active,73603.05,,,53,,2023-10-13
345,104,10,19,20220607,,Active,0.0,,,73,,2023-08-23
346,105,1,20,20231127,,Active,28999.25,,,29,500.0,2023-12-17
347,105,3,31,20231017,,Active,177295.22,,,9,,2023-12-29
348,105,7,44,20221026,,Active,2900.03,,8079.75,78,,2023-06-19
349,105,2,43,20210209,,Active,44812.72,,,66,,2023-07-27
350,106,1,50,20230309,,Active,14002.41,,,100,500.0,2023-09-04
351,106,3,11,20210911,,Active,66828.49,,,93,,2022-04-17
352,106,2,28,20230202,,Active,10724.94,,,36,,2023-09-13
353,106,4,8,20200909,,Active,155970.24,,,56,,2022-07-22
354,107,1,10,20191115,20230225.0,Closed,30013.3,,,71,500.0,2021-05-25
355,107,4,47,20220731,,Active,107173.06,,,91,,2023-03-06
356,108,1,22,20220210,,Active,23658.6,,,14,500.0,2022-08-25
357,108,6,9,20230910,,Active,4601.17,10000.0,,7,,2023-10-05
358,108,4,48,20200615,,Active,88477.31,,,46,,2021-06-24
359,109,1,44,20230921,,Active,29679.91,,,83,500.0,2023-11-19
360,109,8,48,20201031,,Active,606882.14,,932818.15,51,,2022-07-06
361,110,1,37,20210911,20220321.0,Closed,14353.17,,,31,500.0,2022-03-06
362,110,6,6,20200722,,Active,31683.52,50000.0,,41,,2022-06-20
363,110,10,41,20230712,,Active,0.0,,,91,,2023-08-19
364,111,1,9,20210305,,Active,37451.04,,,13,500.0,2023-12-11
365,111,6,43,20151108,,Active,5015.99,10000.0,,2,,2021-01-20
366,111,2,27,20180224,,Active,37534.73,,,32,,2023-08-08
367,112,1,11,20220329,,Active,27538.22,,,19,500.0,2023-06-21
368,112,7,26,20200531,,Active,6800.56,,9003.52,12,,2023-12-04
369,113,1,16,20220909,,Active,36760.37,,,80,500.0,2023-04-01
370,113,2,42,20220205,,Active,21945.38,,,86,,2022-07-01
371,114,1,13,20220810,,Active,15465.25,,,4,500.0,2023-03-15
372,114,6,22,20220601,20230118.0,Closed,5114.39,25000.0,,87,,2023-12-26
373,114,7,31,20230722,,Active,33494.91,,48510.35,38,,2023-11-20
374,115,1,48,20190531,,Active,41109.28,,,45,500.0,2023-12-13
375,115,6,26,20220916,,Active,2204.66,15000.0,,32,,2022-11-21
376,116,1,16,20210409,,Active,39284.6,,,91,500.0,2023-05-01
377,116,4,30,20170701,,Active,8911.82,,,95,,2021-05-24
378,116,7,26,20190325,,Active,26985.71,,35937.55,8,,2020-01-07
379,117,1,2,20200217,,Active,43331.58,,,59,500.0,2021-06-30
380,117,2,28,20200416,,Active,19151.41,,,6,,2022-10-17
381,117,4,44,20230509,,Active,115540.23,,,46,,2023-07-27
382,118,1,4,20230410,,Active,21384.21,,,54,500.0,2023-11-22
383,118,7,48,20210226,,Active,8834.49,,23439.06,27,,2023-01-04
384,119,1,42,20220902,,Active,43295.77,,,91,500.0,2023-06-27
385,119,6,1,20210519,,Active,1176.85,2500.0,,87,,2022-07-04
386,120,1,14,20221110,,Active,14248.33,,,41,500.0,2023-04-26
387,120,6,1,20210716,,Active,13572.16,50000.0,,1,,2021-11-20
